time, failed, passed, discarded
2.293468177,True,2364,20140
1.601630179,True,1813,14363
1.248558289,True,1278,10815
1.289662747,True,1048,10861
2.630214822,True,2716,21042
2.049180297,True,2220,17463
0.681649918,True,925,5950
1.411975385,True,950,12212
1.6037679e-2,True,4,180
1.952723326,True,2238,17009
0.559714907,True,545,5658
4.54001447,True,5991,38063
1.7881264,True,2255,13898
9.4772595e-2,True,122,833
2.217145992,True,2690,19011
0.548360797,True,729,4837
1.339647324,True,1603,11879
3.172555004,True,3350,25999
3.247626144,True,3446,27620
1.356265963,True,1842,11971
1.094729554,True,1058,9996
1.683004837,True,1867,13891
3.354932457,True,3621,28730
0.646464439,True,887,5263
0.626822341,True,539,6172
1.188419012,True,1653,9493
1.641539825,True,1847,14227
2.916433182,True,3128,25318
1.366426696,True,1411,12633
1.883586382,True,2197,16489
