time, failed, passed, discarded
1.451939047,True,1763,13951
4.393367952,True,4624,40441
0.683141542,True,530,7138
3.18705491,True,4144,29022
2.606652117,True,2660,24308
5.405826285,True,6422,47816
3.23890563,True,4434,28351
3.106675876,True,4004,28893
1.470831094,True,1450,12756
3.369180484,True,4173,28960
4.453952454,True,5334,39868
5.179550503,True,6980,46551
2.519198355,True,3087,22663
2.298166112,True,2481,20849
1.113467e-2,True,1,126
2.926892305,True,3473,27300
4.409011859,True,5126,39741
3.870998947,True,4412,35559
2.334245096,True,2263,22282
1.750188785,True,2233,17000
0.803691296,True,1050,7870
1.41773026,True,1241,12872
0.876968477,True,1159,7719
2.646862193,True,3244,24055
2.398217339,True,2856,20268
3.096042841,True,3894,26357
2.274508714,True,3070,20745
2.40562232,True,2582,22158
1.769613207,True,2421,16122
5.010468837,True,5749,45044
