time, failed, passed, discarded
3.126738836,True,3430,25639
2.60117702,True,2800,22942
3.688269868,True,4543,30883
2.845009258,True,2654,25552
1.760239112,True,2202,14117
2.212686241,True,2479,19216
8.316717827,True,9818,70491
3.13758719,True,3801,26443
11.66386775,True,11802,98538
5.251334324,True,5974,44572
0.796975105,True,709,7042
2.092479771,True,2283,19767
4.220048784,True,5054,34870
2.462308982,True,2693,19177
6.357139996,True,5750,50628
1.461778502,True,1793,11982
9.014033048,True,9008,74784
4.250073153,True,4174,35750
8.484042934,True,10066,67900
3.723814806,True,3916,28591
5.113600649,True,6426,41359
3.263443608,True,2719,28993
2.137418662,True,2164,18738
3.156417243,True,3718,26327
5.976984959,True,6131,50342
5.137038348,True,5410,41498
6.761622034,True,7191,54156
4.700672773,True,4774,39170
7.359327284,True,7659,55489
5.733160247,True,5696,47191
