time, failed, passed, discarded
0.262998539,True,155,2826
8.8665553e-2,True,54,931
0.115787544,True,73,1195
2.5888329e-2,True,9,282
0.180944087,True,136,1781
7.2535124e-2,True,37,776
5.3289299e-2,True,31,549
0.329677945,True,199,3389
0.478292133,True,324,4711
6.2016638e-2,True,49,656
9.1014005e-2,True,48,917
0.394840104,True,257,3964
0.603877398,True,418,6258
0.344406824,True,186,3353
0.152527798,True,80,1546
0.102960313,True,76,979
0.178420832,True,119,1844
0.115393179,True,87,1107
0.196168862,True,110,2059
0.12412747,True,81,1305
0.214385445,True,123,2171
0.247446856,True,157,2500
0.149481943,True,73,1547
0.241719017,True,181,2390
0.148341452,True,91,1497
0.5783526,True,308,5848
0.34667041,True,204,3490
0.202466106,True,104,2151
5.2194711e-2,True,18,566
0.309763798,True,164,3260
