time, failed, passed, discarded
0.71080802,True,456,6948
1.234945503,True,783,12732
1.302265333,True,818,12863
2.352038248,True,1507,24164
9.416212716,True,7093,92336
0.431926891,True,309,4338
0.656836835,True,380,6673
4.120231029,True,2850,41215
10.644584284,True,8037,104295
0.149544496,True,79,1566
0.191519989,True,114,1919
0.469250044,True,258,4650
6.670442714,True,5203,65977
2.024598816,True,1316,20545
9.112727547,True,7427,87975
0.272518528,True,178,2789
0.284981579,True,180,2750
1.220779842,True,740,12329
0.187016427,True,110,2016
1.225334482,True,773,12322
0.776520889,True,465,7669
0.354714711,True,205,3611
4.9055728e-2,True,39,510
8.376924312,True,6358,83106
0.25241392,True,146,2556
0.27764305,True,193,2776
0.538750627,True,348,5186
2.573725171,True,1784,25798
4.313660295,True,3022,43610
0.458335788,True,265,4675
