time, failed, passed, discarded
0.230939229,True,124,2396
0.761743855,True,515,7757
0.424308794,True,273,4153
0.113953639,True,76,1136
0.244147378,True,152,2507
0.252766657,True,170,2498
0.269989752,True,158,2754
0.103024467,True,74,1049
0.539882703,True,336,5376
0.224131865,True,153,2259
0.154358763,True,109,1496
0.410890403,True,252,4155
0.309530694,True,166,2822
0.580051052,True,383,5847
0.609238399,True,349,6014
0.351361795,True,198,3619
0.717252192,True,464,7152
0.305309787,True,184,3188
0.339672929,True,214,3446
0.172038934,True,116,1737
0.132126374,True,84,1276
0.196570664,True,133,1960
0.497394986,True,326,5016
6.0966686e-2,True,47,633
0.4336079,True,254,4388
0.382235397,True,207,3917
0.207226082,True,135,2155
0.277193173,True,127,2848
0.680739016,True,406,6385
0.275611641,True,154,2703
