time, failed, passed, discarded
2.92985e-3,True,1,38
6.359632e-3,True,2,82
3.401226e-3,True,2,48
5.6371704e-2,True,35,587
4.5780648e-2,True,20,435
5.008018e-2,True,38,541
5.003593e-2,True,35,499
3.7602914e-2,True,28,400
3.8212703e-2,True,18,461
3.0328828e-2,True,11,345
3.718342e-2,True,13,380
5.9065821e-2,True,48,624
3.6650931e-2,True,15,365
1.1240631e-2,True,10,127
6.271092e-3,True,4,78
2.714563e-2,True,7,290
1.0687084e-2,True,4,135
4.1337536e-2,True,25,384
4.0114288e-2,True,10,410
8.7930841e-2,True,48,900
0.104709472,True,55,1018
2.848338e-3,True,1,39
7.892727e-3,True,2,100
8.9354258e-2,True,63,854
1.3131725e-2,True,5,148
3.0372058e-2,True,14,333
1.615007e-3,True,1,24
0.122562864,True,75,1219
2.8094351e-2,True,13,321
1.570854e-3,True,1,22
