time, failed, passed, discarded
2999.299501988,True,86055,161482
3137.929211958,True,79663,164413
2853.639832894,True,76576,159378
3261.675735167,True,106932,165984
3601.531651753,False,141182,166218
3439.92677202,True,104707,173210
2654.634841005,True,75728,161500
2617.853439022,True,77322,159179
3599.729115912,False,250968,155032
2718.679850134,True,76637,160627
3497.636430746,True,143633,171441
3422.219025495,True,121567,176949
2902.277497826,True,90291,163590
3600.430015093,False,117896,175804
3261.259882113,True,109735,168908
3216.342459492,True,111955,164711
3601.249675183,False,112052,166348
2821.8168917,True,86653,159143
2722.264441703,True,93670,158201
3315.111496307,True,117092,170819
3601.745790793,False,121579,170421
2703.461255948,True,85684,161395
3211.245631694,True,101621,179575
3600.743693039,False,173967,178533
2541.537275051,True,77723,160387
2875.001826513,True,121816,164067
3149.601352558,True,149128,168253
3023.337162391,True,112906,168404
3041.463520035,True,97000,175163
2612.269800047,True,88979,162711
