time, failed, passed, discarded
9.6543179e-2,True,60,114
8.5171925e-2,True,56,99
2.853168e-2,True,19,31
0.201182707,True,141,119
8.9821929e-2,True,57,98
8.4067968e-2,True,53,102
8.8898163e-2,True,56,99
0.321564051,True,220,119
0.155437743,True,101,120
8.8385808e-2,True,55,100
8.6568505e-2,True,54,101
8.8562475e-2,True,55,100
0.24231006,True,160,98
9.322449e-2,True,54,101
0.197568203,True,137,122
8.7120304e-2,True,55,100
8.9542667e-2,True,57,98
8.736281e-2,True,53,102
8.5665584e-2,True,54,101
8.7837475e-2,True,54,101
8.7226924e-2,True,54,101
0.193962496,True,141,122
8.2422818e-2,True,52,103
0.142768786,True,98,116
8.6853609e-2,True,55,100
8.6050236e-2,True,53,102
8.8645059e-2,True,57,98
8.5781665e-2,True,56,99
8.572571e-2,True,54,101
8.7771285e-2,True,56,99
