time, failed, passed, discarded
2.298405673,True,1183,3530
2.533477197,True,1472,4972
1.654502089,True,883,2745
2.355213139,True,1535,5637
2.055649506,True,1380,4921
2.350528619,True,1537,5635
2.36282804,True,1383,4918
2.886402064,True,1385,4916
3.41107184,True,1543,5629
2.552675615,True,1385,4916
3.040712478,True,1384,4917
1.898364528,True,1262,4478
4.248589511,True,1842,5889
3.946196957,True,1790,5683
2.724414378,True,1534,5638
3.729754785,True,1694,5675
2.502058811,True,1395,4906
2.262900941,True,947,3277
2.138525731,True,1387,4914
2.43432152,True,1085,3900
3.144199998,True,1537,5635
2.550290566,True,1529,5643
2.122715758,True,1386,4915
1.291402777,True,861,2885
2.332617659,True,1538,5634
2.638383568,True,1397,4963
1.638775092,True,1056,3674
2.480579033,True,1386,4915
2.591110915,True,1377,4924
1.787060442,True,536,1397
