time, failed, passed, discarded
1.373598256,True,886,13970
1.268095364,True,869,12804
2.725956425,True,1733,27445
0.849759118,True,579,8498
0.251754644,True,165,2556
3.980759287,True,2846,39987
0.535965382,True,348,5389
0.268587024,True,149,2759
0.316950593,True,216,3020
4.707920154,True,3432,46912
2.703617204,True,1944,27382
0.418589248,True,261,4303
0.584428545,True,363,5979
0.585739713,True,378,5936
0.872013602,True,551,8874
0.563064939,True,357,5679
0.534207243,True,335,5376
0.896578903,True,550,9305
0.886199624,True,564,9253
0.313705595,True,185,3201
0.375949941,True,243,3876
3.003520995,True,2117,30421
0.679823613,True,437,6994
1.563085798,True,1023,15769
2.505928679,True,1679,25553
0.428759707,True,267,4201
1.05062078,True,667,10652
0.768936831,True,468,7753
0.831359101,True,560,8208
0.899699731,True,562,9350
