time, failed, passed, discarded
0.358493625,True,230,3585
0.879873306,True,585,8941
0.510360177,True,304,5363
6.5911877e-2,True,34,790
0.226734617,True,128,2376
0.195902795,True,106,2089
0.203846136,True,114,2009
0.856304352,True,504,8739
0.273327347,True,147,2815
0.676114139,True,412,6991
0.552830884,True,354,5752
3.79769581,True,2519,38325
1.641482144,True,1058,16574
2.123560911,True,1380,21310
0.419470235,True,251,4242
0.549864151,True,329,5680
1.591054514,True,989,16385
1.29013884,True,915,13114
0.166251791,True,90,1695
0.422781621,True,235,4202
0.564939435,True,363,5684
0.206646819,True,137,2187
0.319706241,True,182,3196
1.103076842,True,691,11326
4.7605522e-2,True,22,519
0.494924961,True,319,5024
0.330169004,True,199,3343
1.354239684,True,933,13889
1.189146258,True,784,12264
0.951049676,True,583,9889
