time, failed, passed, discarded
0.960290419,True,577,9756
1.226064782,True,794,12578
1.469732299,True,956,15105
1.567230998,True,1074,15546
10.477470127,True,8206,104378
2.690579975,True,1725,27483
5.760163062,True,4128,57509
2.976016181,True,2084,29616
1.645209684,True,1122,16846
1.146397832,True,750,11889
3.607756504,True,2594,36747
1.018713459,True,648,10549
13.816640909,True,11467,138024
2.781351029,True,1847,28453
5.203987879,True,3971,51151
7.059560076,True,5193,71192
19.117923566,True,16043,189928
12.563669458,True,10298,123117
6.853293214,True,5327,67717
3.138884986,True,2259,32482
3.767272007,True,2497,37994
4.096563483,True,2868,41533
1.559457974,True,955,15779
2.008291878,True,1413,20403
2.948829963,True,1988,29893
0.50070586,True,305,5281
14.746378554,True,12075,146204
2.399765001,True,1562,23998
1.86349646,True,1257,18863
7.159641336,True,5305,71597
