time, failed, passed, discarded
4.3114324e-2,True,74,450
0.281490725,True,424,2718
0.272717445,True,336,2580
5.560759e-3,True,1,69
0.786254616,True,1124,6762
1.026543443,True,919,9492
0.103049971,True,137,1119
8.4751758e-2,True,62,825
0.15916811,True,179,1600
0.960114546,True,1026,8027
0.292823354,True,210,2514
7.5306288e-2,True,92,844
0.474767264,True,620,4375
0.280294005,True,245,3201
4.859082e-3,True,1,69
0.593359173,True,565,5378
0.794343125,True,813,7172
5.6865067e-2,True,29,535
0.449860552,True,474,4191
4.151863e-3,True,1,63
0.125375631,True,95,1408
5.719972e-3,True,1,71
0.164602697,True,122,1691
9.63458e-3,True,1,107
0.225181755,True,267,2181
0.411774332,True,517,3791
0.242199609,True,227,2482
0.288751088,True,276,3222
3.0169751e-2,True,14,307
0.595414816,True,527,4935
