time, failed, passed, discarded
4.448333185,True,4960,38658
4.707931911,True,4912,41052
4.559521099,True,5995,38933
9.711310555,True,10884,83345
8.015306841,True,8928,69029
7.810021717,True,8613,66278
7.494110774,True,7746,61229
14.89716111,True,15889,125165
11.609158061,True,13692,95958
6.383747401,True,7307,53771
7.85766713,True,8261,67953
2.278487325,True,2697,19722
9.140230918,True,9389,78840
9.371859242,True,10301,77029
3.454137561,True,3729,28028
2.348418783,True,2460,21036
1.230291718,True,1330,10743
6.986139425,True,7291,61192
5.914236643,True,6586,48738
6.533741539,True,7388,56034
4.426254654,True,4732,39291
10.951105462,True,11139,94911
7.602146921,True,8212,64376
4.759410314,True,5107,41872
1.631881727,True,1878,14338
8.190412209,True,9988,69568
9.529345466,True,10945,82365
6.361007142,True,7393,56156
13.454690134,True,14348,116141
2.475295919,True,2744,20729
