time, failed, passed, discarded
8.830594e-3,True,6,107
2.581254e-3,True,1,34
4.6361596e-2,True,21,522
6.259388e-2,True,28,668
4.6488063e-2,True,19,474
7.5780337e-2,True,31,841
6.1499822e-2,True,28,625
6.9816771e-2,True,41,761
1.267194e-3,True,1,18
1.5834189e-2,True,5,169
1.77554e-3,True,1,25
4.4105033e-2,True,28,464
2.8789893e-2,True,19,337
0.129750704,True,58,1382
6.6948575e-2,True,52,637
5.233959e-3,True,1,63
6.9533811e-2,True,39,723
3.799843e-3,True,3,48
1.5637729e-2,True,10,197
0.106626191,True,58,1045
2.3556603e-2,True,5,277
6.5518941e-2,True,38,665
2.340245e-3,True,1,33
4.2309498e-2,True,29,436
8.352112e-3,True,4,118
1.9813959e-2,True,6,224
0.10727053,True,55,1001
0.132432485,True,58,1372
6.3990821e-2,True,44,630
1.900512e-2,True,18,188
