time, failed, passed, discarded
0.465375555,True,305,4658
0.267863117,True,155,2747
0.117858404,True,72,1119
0.365126158,True,240,3671
3.834325e-3,True,1,49
0.644807832,True,398,6440
0.157022913,True,84,1675
0.105555559,True,70,1052
0.449030424,True,254,4508
0.146469606,True,105,1441
0.138798358,True,82,1377
1.2579892e-2,True,7,152
6.9647472e-2,True,40,722
0.264632116,True,154,2662
0.323300438,True,190,3400
5.054019e-2,True,26,557
0.10082398,True,67,1047
0.246836777,True,153,2533
0.43204862,True,283,4358
0.366339547,True,219,3708
8.8181505e-2,True,58,889
0.425494048,True,224,4108
0.319079613,True,221,3158
9.1973514e-2,True,54,934
2.2483061e-2,True,18,234
0.641960956,True,398,6678
0.283391731,True,160,2972
0.251846682,True,146,2533
9.1730144e-2,True,43,887
0.159401231,True,109,1500
