time, failed, passed, discarded
3.0262237e-2,True,18,349
0.161716225,True,110,1704
0.112037803,True,72,1096
0.203651617,True,117,2107
0.148609229,True,90,1525
9.5747349e-2,True,47,940
0.681925054,True,442,6994
0.121969909,True,64,1193
0.628299759,True,412,6441
0.14009687,True,92,1362
0.357685823,True,210,3603
9.79335e-4,True,0,15
0.667133005,True,387,6706
0.282281373,True,148,2901
0.217216833,True,152,2227
0.567258349,True,357,5725
0.378123825,True,221,3927
0.313489257,True,200,3272
0.275917212,True,163,2835
0.455309252,True,302,4621
2.1849664e-2,True,11,245
0.786641935,True,469,7927
0.382236657,True,246,3749
0.444255701,True,286,4618
0.387205336,True,246,4034
0.134815058,True,81,1328
0.550340957,True,318,5531
0.142918806,True,86,1354
0.204193428,True,146,2070
0.287902199,True,182,2950
